Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,HAR_Total,SAR,RSC,Na%,WnQn(Ph),WnQn(Ca),WnQn(Mg),WnQn(F),WnQn(Ec),WnQn(Har),WnQn(TDS),WaterQualityIndex
HP11933,Kancheepuram,Tambaram,Madambakkam.113,"12°54'00""","80°08'52""",07-07-2015,763,20,84,59.535,108,0.1,209,58,0,311.1,0.1,7.6,1370,455,2.203419,0,34.06298,4.67636,1.483965056,6.573501459,6.900879192,1.512672713,0.502384003,0.303285328,21.95304775
11717,Kancheepuram,Uthiramerur,Perunager-2,"12°39'03""","79°38'59""",07-07-2015,606,11,42,65.61,90,0.1,170,37,0,305,0.54,8,1140,375,2.02227,0,34.30333,7.793933333,0.741982528,7.244266914,37.26474764,1.25872036,0.41405275,0.240879304,54.95858282
11718,Kancheepuram,Uthiramerur,Uthiramerur,"12°36'59""","79°45'43""",07-07-2015,1140,14,12,27.945,366,59,202,54,0,713.7,0.43,7.8,2030,145,13.2246,8.800077,78.31802,6.235146667,0.211995008,3.085521093,29.67378052,2.241405553,0.160100397,0.453139284,42.06108853
11725,Kancheepuram,Uthiramerur,Thirupulivanam,"12°40'08""","79°45'37""",07-07-2015,288,2,22,43.74,18,0.1,50,29,2.787903,187.1329,0.34,8.2,560,235,0.5108978,0,14.28051,9.35272,0.388657515,4.829511276,23.46298925,0.618318773,0.259473057,0.114477293,39.02614717
11750,Kancheepuram,Uthiramerur,Sethanacheri,"12°40'47""","79°45'16""",07-07-2015,438,4,28,20.655,115,0.1,78,20,2.420775,257.5292,0.43,8,810,155,4.019827,1.204934,61.74228,7.793933333,0.494655019,2.280602547,29.67378052,0.89435394,0.171141803,0.174100883,41.48256805
13013,Kancheepuram,Uthiramerur,Kavanipakkam,,,07-07-2015,1190,7,44,77.76,290,18,461,76,0,384.3,0.17,8,2170,430,6.085093,0,58.21305,7.793933333,0.777315029,8.585797824,11.73149463,2.395985247,0.474780487,0.473013814,32.23232036
MWW18,Kancheepuram,Uthiramerur,Karuveppam Poondi,"12°40'47""","79°45'16""",07-07-2015,522,10,34,52.245,87,0.1,99,53,0,305,0.96,7.9,980,300,2.185607,0,38.68332,7.01454,0.600652523,5.768582913,66.24844024,1.082057853,0.3312422,0.207490093,81.25300582
MWW21,Kancheepuram,Uthiramerur,Kurumberi,"12°39'57""","79°53'12""",07-07-2015,1649,34,160,97.2,246,66,666,99,0,329.4,0.17,8,2840,800,3.785151,0,37.71513,7.793933333,2.826600107,10.73224728,11.73149463,3.135759493,0.883312533,0.655461999,37.75880937
MWW26,Kancheepuram,Uthiramerur,Perunager-2,"12°39'03""","79°38'59""",07-07-2015,738,7,30,77.76,143,3,216,57,0,359.9,0.73,7.9,1420,395,3.130522,0,43.82634,7.01454,0.52998752,8.585797824,50.3764181,1.567879747,0.436135563,0.293348063,68.80410682
HP11939,Kancheepuram,Uthiramerur,Salavakkam,"12°40'00""","79°53'40""",07-07-2015,403,6,54,21.87,69,1,71,37,2.934696,196.9861,0.6,8.2,750,225,2.002109,0,39.9038,9.35272,0.953977536,2.414755638,41.40527515,0.8281055,0.24843165,0.160188712,55.36345419
