Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,HAR_Total,SAR,RSC,Na%,WnQn(Ph),WnQn(Ca),WnQn(Mg),WnQn(F),WnQn(Ec),WnQn(Har),WnQn(TDS),WaterQualityIndex
Lab Kpm 04,Kancheepuram,Madhuranthagam,Esoor,"12°32'27""","79°59'25""",06-01-2016,1030,9,30,57.105,258,39,432,52,0,244,0.72,8.1,1840,310,6.375837,0,60.938,8.573326667,0.52998752,6.305195277,49.68633018,2.031618827,0.342283607,0.409415318,67.8781574
A13023,Kancheepuram,Uthiramerur,Acharpakkam Mosque,"12°24'22""","79°48'59""",07-01-2016,849,22,28,40.095,218,12,284,63,0,213.5,0.7,8.2,1450,235,6.187874,0,65.45929,9.35272,0.494655019,4.427052003,48.30615434,1.601003967,0.259473057,0.337469519,64.77852791
13003,Kancheepuram,Uthiramerur,Karusangal,"12°20'05""","79°44'47""",07-01-2016,1164,13,32,103.275,253,0.1,461,87,60,219.6,0.23,8.4,2110,505,4.898267,0,52.14927,10.91150667,0.565320021,11.40301274,15.87202214,2.329736807,0.557591037,0.462679058,42.10186847
A13013,Kancheepuram,Madhuranthagam,Maduranthakam T.office,"12°30'33""","79°53'08""",07-01-2016,532,18,40,17.01,125,22,82,56,0,219.6,1,8.1,940,170,4.172642,0.2036088,57.86836,8.573326667,0.706650027,1.878143274,69.00879192,1.037892227,0.187703913,0.211464999,81.60397302
HP11936,Kancheepuram,Madurandagam,Orathi,"12°22'50""","79°42'20""",07-01-2016,241,2,30,17.01,32,1,50,23,1.51968,128.4174,0.09,8.1,430,145,1.156553,0,32.26249,8.573326667,0.52998752,1.878143274,6.210791273,0.474780487,0.160100397,0.095795235,17.92292485
11729,Kancheepuram,Madhuranthagam,Padalam,"12°35'31""","79°56'49""",07-01-2016,606,1,28,24.3,186,0.1,121,54,0,378.2,1.2,7.9,1150,170,6.207964,2.802254,70.41357,7.01454,0.494655019,2.68306182,82.8105503,1.269761767,0.187703913,0.240879304,94.70115212
13098,Kancheepuram,Madhuranthagam,Malaivayavur,"12°35'38""","79°53'37""",07-01-2016,511,3,40,36.45,90,38,106,35,0,305,0.88,7.9,990,250,2.477017,0.003754236,39.61414,7.01454,0.706650027,4.02459273,60.72773689,1.09309926,0.276035167,0.203117697,74.04577177
A13015,Kancheepuram,Madhuranthagam,Acharapakkam Sangulam,,,07-01-2016,153,3,42,6.075,5,0.1,18,8,1.466766,98.45399,0.49,8.2,280,130,0.1908994,0,7.723396,9.35272,0.741982528,0.670765455,33.81430804,0.309159387,0.143538287,0.060816062,45.09328976
A13241,Kancheepuram,Madhuranthagam,Maduranthagam Rdo Office,,,07-01-2016,338,4,32,34.02,62,0.1,103,40,0.7445314,79.20547,1.32,8,710,220,1.818961,0,38.00628,7.793933333,0.565320021,3.756286548,91.09160533,0.783939873,0.242910947,0.134351823,104.3683479
KpmMWW6,Kancheepuram,Cheyyur,Ladakaranai,,,07-01-2016,176,2,16,27.945,9,0.1,14,9,3.457162,146.4173,0.05,8.4,350,155,0.3145437,0,11.21056,10.91150667,0.282660011,3.085521093,3.450439596,0.386449233,0.171141803,0.069958346,18.35767675
KpmMWW7,Kancheepuram,Cheyyur,Kannimangalam,,,07-01-2016,229,3,32,17.01,21,0.1,39,30,0.736818,124.2316,0.1,7.8,390,150,0.746241,0,23.34583,6.235146667,0.565320021,1.878143274,6.900879192,0.43061486,0.1656211,0.091025347,16.26675046
13243,Kancheepuram,Madurandagam,L.endathur,"12°31'04""","79°46'12""",08-01-2016,792,8,78,82.62,90,0.1,376,47,0,164.7,0.08,8.1,1460,535,1.693203,0,26.79788,8.573326667,1.377967552,9.122410188,5.520703353,1.612045373,0.590715257,0.314812555,27.11198095
13011A,Kancheepuram,Madurandagam,Madurandagam,"12°31'36""","79°53'12""",08-01-2016,530,0.1,22,49.815,122,0.1,149,65,0,244,1.29,8.2,1050,260,3.292004,0,50.50956,9.35272,0.388657515,5.500276731,89.02134157,1.1593477,0.287076573,0.210670018,105.9200901
13238,Kancheepuram,Chengalpattu,Kannivakkam,"12°47'50""","80°50'30""",08-01-2016,393,2,42,38.88,36,33,53,44,2.630753,222.3063,0.94,8.1,770,265,0.9623534,0,20.32253,8.573326667,0.741982528,4.292898912,64.8682644,0.850188313,0.292597277,0.156213806,79.7754719
23047,Kancheepuram,Kancheepuram,Devanur,"12°45'26""","79°55'33""",08-01-2016,231,1,34,23.085,23,0.1,35,35,1.461202,123.4759,0.89,8.1,460,180,0.7460613,0,21.75168,8.573326667,0.600652523,2.548908729,61.41782481,0.507904707,0.19874532,0.091820329,73.93918308
A13006,Kancheepuram,Kancheepuram,Chengalpet Police Qtrs,"12°41'48""","79°58'34""",08-01-2016,716,19,58,47.385,147,0.1,156,48,60,231.8,0.8,8.4,1320,340,3.469317,0,48.47573,10.91150667,1.024642539,5.231970549,55.20703353,1.45746568,0.375407827,0.28460327,74.49263006
HP11909,Kancheepuram,Chengalpattu,Ottivakkam,"12°47'25""","80°07'25""",08-01-2016,266,2,48,18.225,25,0.1,35,40,1.396404,148.5536,0.83,8,500,195,0.7792167,0,21.81362,7.793933333,0.847980032,2.012296365,57.27729729,0.552070333,0.21530743,0.1057325,68.80461728
HP11912,Kancheepuram,Chengalpattu,Karunilam,"12°45'40""","80°04'00""",08-01-2016,614,8,26,46.17,161,0.1,142,77,60,134.2,0.99,8.4,1210,255,4.386912,0,57.86535,10.91150667,0.459322517,5.097817458,68.318704,1.336010207,0.28155587,0.244059228,86.64897594
HP11926,Kancheepuram,Chengalpattu,Pattaravakkam,"12°42'56""","80°01'10""",08-01-2016,226,2,28,17.01,39,0.1,35,31,1.285769,108.6513,0.58,8.1,450,140,1.434478,0,37.73125,8.573326667,0.494655019,1.878143274,40.02509931,0.4968633,0.154579693,0.089832876,51.71250014
HP11930,Kancheepuram,Chengalpattu,Nellikuppam,"12°44'58""","80°07'55""",08-01-2016,1022,13,34,52.245,321,2,287,35,72,323.3,1.74,8.5,2000,300,8.064138,1.703413,69.77953,11.6909,0.600652523,5.768582913,120.0752979,2.208281333,0.3312422,0.406235393,141.0811923
HP11954,Kancheepuram,Tambaram,Ponmar,"12°51'10""","80°10'40""",08-01-2016,504,1,40,71.685,62,0.1,138,60,0,256.2,1,8.2,1060,395,1.357362,0,25.45541,9.35272,0.706650027,7.915032369,69.00879192,1.170389107,0.436135563,0.200335262,88.79005424
LabKpm05,Kancheepuram,Chenglepet,Peramanur,"12°47'21""","80°00'49""",08-01-2016,969,25,56,102.06,161,0.1,376,72,0,183,0.98,8.2,1820,560,2.960283,0,38.48151,9.35272,0.989310037,11.26885964,67.62861608,2.009536013,0.618318773,0.385168391,92.25252894
LabKpm06,Kancheepuram,Chenglepet,Kottamedu,"12°43'17""","80°06'44""",08-01-2016,331,5,56,18.225,41,4,85,14,3.457162,146.4173,0.81,8.4,620,215,1.217064,0,28.85719,10.91150667,0.989310037,2.012296365,55.89712145,0.684567213,0.237390243,0.131569389,70.86376137
HP11955,Kancheepuram,Madurandagam,Velamur [ramapuram],"12°28'40""","79°46'00""",08-01-2016,781,3,28,55.89,196,6,333,43,48,115.9,0.06,8.4,1470,300,4.923689,0,58.09404,10.91150667,0.494655019,6.171042186,4.140527515,1.62308678,0.3312422,0.310440159,23.98250052
MWW8,Kancheepuram,Madurandagam,Velmaur,"12°28'37""","79°45'56""",08-01-2016,920,4,90,104.49,133,0.1,397,55,0,244,1.36,7.5,1890,655,2.261344,0,30.64599,3.896966667,1.58996256,11.53716583,93.85195701,2.08682586,0.723212137,0.365691352,114.0517814
LabKpm07,Kancheepuram,Thirukazhukkuntram,Amur,"12°39'40""","80°08'24""",09-01-2016,169,0.1,20,24.3,9,0.1,35,20,1.466766,98.45399,0.74,8.2,340,150,0.3197634,0,11.54214,9.35272,0.353325013,2.68306182,51.06650602,0.375407827,0.1656211,0.067175911,64.06381769
LabKpm08,Kancheepuram,Thirukazhukkuntram,Sadras,"12°31'43""","80°09'40""",09-01-2016,361,1,72,12.15,44,0.1,64,58,4.033838,170.8406,0.22,8.4,650,230,1.262949,0,29.4019,10.91150667,1.271970048,1.34153091,15.18193422,0.717691433,0.253952353,0.143494107,29.82207974
11902,Kancheepuram,Thirukazhukkuntram,Nenmeli,"12°39'57""","80°01'03""",09-01-2016,217,2,32,27.945,12,0.1,18,57,1.466766,98.45399,0.96,8.2,440,195,0.3739591,0,11.80656,9.35272,0.565320021,3.085521093,66.24844024,0.485821893,0.21530743,0.08625546,80.03938614
11903,Kancheepuram,Thirukazhukkuntram,Kuzhipanthandalam,"12°37'24""","80°06'52""",09-01-2016,509,8,42,69.255,55,0.1,106,49,0,305,0.85,8.2,1020,390,1.211822,0,23.47812,9.35272,0.741982528,7.646726187,58.65747313,1.12622348,0.43061486,0.202322715,78.1580629
11904,Kancheepuram,Thirukazhukkuntram,Nathankariyachery,"12°34'17""","80°06'30""",09-01-2016,764,1,56,55.89,173,0.1,340,71,0,128.1,0.94,8.1,1490,370,3.913756,0,50.43151,8.573326667,0.989310037,6.171042186,64.8682644,1.645169593,0.408532047,0.303682818,82.95932775
13008,Kancheepuram,Thirukazhukkuntram,Agathy Mangalam,"12°35'20""","80°10'40""",09-01-2016,334,9,60,18.225,32,0.1,28,49,2.567714,172.353,0.54,8.2,590,225,0.9285668,0,23.63804,9.35272,1.05997504,2.012296365,37.26474764,0.651442993,0.24843165,0.13276186,50.72237554
HP11929A,Kancheepuram,Thirukazhukkuntram,Manamathi,"12°39'25""","80°07'10""",09-01-2016,172,1,32,17.01,9,0.1,35,15,1.466766,98.45399,0.7,8.2,340,150,0.3198175,0,11.54559,9.35272,0.565320021,1.878143274,48.30615434,0.375407827,0.1656211,0.068368383,60.71173495
HP11964,Kancheepuram,Thirukazhukkuntram,Panangattucherry,"12°30'10""","80°04'55""",09-01-2016,301,0.1,18,19.44,74,0.1,71,27,2.200731,147.72,0.85,8.2,570,125,2.880172,0,56.27954,9.35272,0.317992512,2.146449456,58.65747313,0.62936018,0.138017583,0.119644671,71.36165753
HP13006,Kancheepuram,Thirukazhukkuntram,P.v.kalathur,"12°37'04""","79°58'31""",09-01-2016,1171,1,130,108.135,166,0.1,585,101,0,152.5,1.44,7.9,2260,770,2.603318,0,31.93682,7.01454,2.296612587,11.9396251,99.37266036,2.495357907,0.850188313,0.465461493,124.4344458
11733,Kancheepuram,Thirukazhukkuntram,Nedumaram,"12°26'05""","80°05'17""",01-07-2016,228,4,44,9.72,14,4,35,36,0.6483775,109.3201,0.17,7.8,370,150,0.4975782,0,16.42774,6.235146667,0.777315029,1.073224728,11.73149463,0.408532047,0.1656211,0.090627857,20.48196205
13242,Kancheepuram,Cheyyur,Ammanur,"12°22'05""","80°00'10""",01-07-2016,467,7,30,40.095,75,5,142,52,1.396404,148.5536,0.32,8,820,240,2.106589,0,39.8491,7.793933333,0.52998752,4.427052003,22.08281341,0.905395347,0.26499376,0.18562811,36.18980349
13251,Kancheepuram,Cheyyur,Mugaiyur,"12°24'00""","80°05'50""",01-07-2016,351,5,50,13.365,40,30,50,39,2.045977,172.8911,0.43,8.1,610,180,1.297742,0,28.51255,8.573326667,0.883312533,1.475684001,29.67378052,0.673525807,0.19874532,0.139519201,41.61789405
HP11917,Kancheepuram,Cheyyur,Sengattur . 171,"12°23'20""","80°00'30""",01-07-2016,398,12,50,29.16,34,13,71,56,1.111408,148.8489,0.16,7.9,670,245,0.9453503,0,22.05305,7.01454,0.883312533,3.219674184,11.04140671,0.739774247,0.270514463,0.158201259,23.32742339
MWW15,Kancheepuram,Cheyyur,Pavunjur Bdo,"12°26'45""","80°00'16""",01-07-2016,237,4,34,19.44,10,7,25,33,1.396404,148.5536,0.21,8,390,165,0.3388104,0,11.12339,7.793933333,0.600652523,2.146449456,14.4918463,0.43061486,0.18218321,0.094205272,25.73988496
13005,Kancheepuram,Madurandagam,Sittravadi,"12°28'00""","79°54'50""",01-07-2016,285,4,36,14.58,49,2,74,15,0.736818,124.2316,0.25,7.8,520,150,1.741327,0,41.15529,6.235146667,0.635985024,1.609837092,17.25219798,0.574153147,0.1656211,0.113284821,26.58622583
HP11935,Kancheepuram,Madurandagam,Thennampattu,"12°28'00""","79°55'40""",01-07-2016,718,18,46,24.3,192,6,113,14,60,366,0.61,8.4,1280,215,5.69886,3.703986,65.24522,10.91150667,0.812647531,2.68306182,42.09536307,1.413300053,0.237390243,0.285398251,58.43866763
13001A,Kancheepuram,Cheyyur,Vilambur,"12°18'20""","80°00'40""",02-07-2016,259,1,36,14.58,36,13,89,5,0.4687892,99.50615,0.1,7.7,490,150,1.279342,0,31.99168,5.455753333,0.635985024,1.609837092,6.900879192,0.541028927,0.1656211,0.102950065,15.41205473
HP11916,Kancheepuram,Cheyyur,Kayappakkam,"12°20'45""","79°51'40""",02-07-2016,391,10,60,14.58,51,8,71,50,1.111408,148.8489,0.41,7.9,660,210,1.531907,0,33.52513,7.01454,1.05997504,1.609837092,28.29360469,0.72873284,0.23186954,0.155418825,39.09397802
HP11956,Kancheepuram,Cheyyur,Puthirankottai,"12°18'30""","79°53'50""",02-07-2016,438,16,64,30.375,34,16,92,40,0.8842188,149.0842,0.06,7.8,760,285,0.876541,0,19.50676,6.235146667,1.130640043,3.353827275,4.140527515,0.839146907,0.31468009,0.174100883,16.18806938
MWW1,Kancheepuram,Cheyyur,Chennakayapakkam,"12°21'11""","79°51'43""",02-07-2016,320,5,44,30.375,22,5,71,49,0.9261242,124.0342,0.63,7.9,580,235,0.6245543,0,16.55575,7.01454,0.777315029,3.353827275,43.47553891,0.640401587,0.259473057,0.127196992,55.64829285
MWW3,Kancheepuram,Cheyyur,Chunambedu,"12°15'30""","79°54'00""",02-07-2016,639,4,14,38.88,166,23,121,46,60,305,0.42,8.4,1170,195,5.172091,3.10133,61.67826,10.91150667,0.247327509,4.292898912,28.98369261,1.29184458,0.21530743,0.253996493,46.1965742
11729,Kancheepuram,Madhuranthagam,Padalam,"12°35'31""","79°56'49""",02-07-2016,657,4,18,30.375,178,13,156,70,0,347.7,0.64,8.2,1150,170,5.940216,2.301474,67.48604,9.35272,0.317992512,3.353827275,44.16562683,1.269761767,0.187703913,0.261151324,58.90878362
13098,Kancheepuram,Madhuranthagam,Malaivayavur,"12°35'38""","79°53'37""",02-07-2016,624,6,84,31.59,58,74,71,49,0,457.5,0.28,7.9,1120,340,1.369068,0.7075163,22.5114,7.01454,1.483965056,3.487980366,19.32246174,1.236637547,0.375407827,0.248034134,33.16902667
HP11915,Kancheepuram,Cheyyur,Chittamur,"12°24'05""","79°53'40""",02-07-2016,695,8,26,53.46,134,26,163,89,0,335.5,0.79,8.2,1220,285,3.453629,0,47.81404,9.35272,0.459322517,5.902736004,54.51694561,1.347051613,0.31468009,0.276255967,72.16971181
MWW14,Kancheepuram,Cheyyur,Kattudevadur,"12°23'48""","79°56'15""",02-07-2016,408,7,48,24.3,59,9,96,64,0.4659576,124.5141,0.35,7.6,720,220,1.731213,0,35.68555,4.67636,0.847980032,2.68306182,24.15307717,0.79498128,0.242910947,0.162176165,33.56054741
KpmMWW6,Kancheepuram,Cheyyur,Ladakaranai,,,02-07-2016,194,2,22,29.16,1,7,35,16,0.9261242,124.0342,0.3,7.9,370,175,0.03289318,0,1.169304,7.01454,0.388657515,3.219674184,20.70263758,0.408532047,0.193224617,0.077113176,32.00437911
KpmMWW7,Kancheepuram,Cheyyur,Kannimangalam,,,02-07-2016,382,5,56,17.01,49,14,85,62,0.9261242,124.0342,0.12,7.9,670,210,1.471773,0,31.88849,7.01454,0.989310037,1.878143274,8.28105503,0.739774247,0.23186954,0.151841409,19.28653354
kpmMWW20,Kancheepuram,Uthiramerur,Vinayagapuram,,,02-07-2016,649,11,72,48.6,92,16,230,34,0,213.5,0.2,7.4,1200,380,2.053901,0,33.33882,3.117573333,1.271970048,5.36612364,13.80175838,1.3249688,0.419573453,0.257971399,25.55993906
A13015,Kancheepuram,Madhuranthagam,Acharapakkam Sangulam,,,04-07-2016,246,7,50,14.58,1,9,50,13,1.163592,123.7864,0.24,8,400,185,0.03200161,0,1.096015,7.793933333,0.883312533,1.609837092,16.56211006,0.441656267,0.204266023,0.097782688,27.592898
A13023,Kancheepuram,Cheyyur,Acharpakkam Mosque,"12°24'22""","79°48'59""",04-07-2016,947,17,30,52.245,240,18,408,32,0,183,0.24,8,1670,290,6.132205,0,62.5262,7.793933333,0.52998752,5.768582913,16.56211006,1.843914913,0.320200793,0.376423598,33.19515313
13003,Kancheepuram,Cheyyur,Karusangal,"12°20'05""","79°44'47""",04-07-2016,1056,10,22,99.63,222,10,447,44,60,213.5,0.36,8.4,1920,465,4.478983,0,50.27192,10.91150667,0.388657515,11.00055346,24.84316509,2.11995008,0.51342541,0.419750074,50.1970083
HP11936,Kancheepuram,Madurandagam,Orathi,"12°22'50""","79°42'20""",04-07-2016,291,8,44,12.15,34,9,35,30,1.396404,148.5536,0.48,8,490,160,1.169987,0,30.15288,7.793933333,0.777315029,1.34153091,33.12422012,0.541028927,0.176662507,0.115669765,43.87036059
A13013,Kancheepuram,Cheyyur,Maduranthakam T.office,"12°30'33""","79°53'08""",04-07-2016,364,5,52,10.935,58,20,53,10,2.094839,222.8552,0.05,8,650,175,1.908497,0.227828,38.63918,7.793933333,0.918645035,1.207377819,3.450439596,0.717691433,0.193224617,0.144686578,14.42599841
A13241,Kancheepuram,Madhuranthagam,Maduranthagam Rdo Office,,,04-07-2016,555,3,90,35.235,74,4,163,54,0,244,1.02,7.4,1070,370,1.674417,0,30.04873,3.117573333,1.58996256,3.890439639,70.38896776,1.181430513,0.408532047,0.220607283,80.79751313
LAbKpm11,Kancheepuram,Sriperumbudur,Chembarabakkam,"13°00'29""","80°04'58""",04-07-2016,210,1,30,18.225,14,8,35,34,1.023905,108.9261,0.32,8,380,150,0.4974799,0,15.98157,7.793933333,0.52998752,2.012296365,22.08281341,0.419573453,0.1656211,0.083473026,33.08769821
LabKpm12,Kancheepuram,Kancheepuram,Ayyamichery,"12°52'00""","79°43'11""",04-07-2016,419,3,14,41.31,73,8,89,59,2.338365,197.5987,0.64,8.1,750,205,2.218289,0,42.4627,8.573326667,0.247327509,4.561205094,44.16562683,0.8281055,0.226348837,0.166548561,58.76848899
LabKpm13,Kancheepuram,Kancheepuram,Govinthavadiagaram,"12°57'19""","79°40'31""",04-07-2016,427,7,16,15.795,52,17,43,27,3.668661,246.2521,0.54,8.2,720,105,2.2083,2.060463,47.17257,9.35272,0.282660011,1.743990183,37.26474764,0.79498128,0.11593477,0.169728486,49.72476236
LabKpm14,Kancheepuram,Kancheepuram,Vaiyavoor,"12°50'34""","79°44'39""",04-07-2016,307,1,12,30.375,52,17,43,27,4.610515,195.2639,0.1,8.4,580,155,1.817264,0.2559635,39.0313,10.91150667,0.211995008,3.353827275,6.900879192,0.640401587,0.171141803,0.122029614,22.31178115
LabKpm15,Kancheepuram,Kancheepuram,Babashahibpettai,"12°48'16""","79°46'56""",04-07-2016,962,2,68,54.675,198,27,362,121,0,244,0.06,8.2,1720,395,4.33545,0,50.08526,9.35272,1.201305045,6.036889095,4.140527515,1.899121947,0.436135563,0.382385957,23.44908512
11961,Kancheepuram,Sriperumbudur,Oragadam,"12°50'59""","79°56'43""",04-07-2016,608,9,26,38.88,81,94,138,68,0,244,0.33,8.2,1040,225,2.349683,0,33.79869,9.35272,0.459322517,4.292898912,22.77290133,1.148306293,0.24843165,0.241674285,38.51625499
13016,Kancheepuram,Sriperumbudur,Padappai,"12°53'00""","80°01'35""",04-07-2016,937,9,56,72.9,184,7,425,79,0,146.4,0.32,7.8,1700,440,3.816962,0,47.14615,6.235146667,0.989310037,8.04918546,22.08281341,1.877039133,0.485821893,0.372448692,40.0917653
MWS1,Kancheepuram,Sriperumbudur,Salamangalam,"12°53'08""","80°00'46""",04-07-2016,612,3,22,66.825,120,8,191,69,0,244,1.1,8.1,1200,330,2.874054,0,43.4212,8.573326667,0.388657515,7.378420005,75.90967111,1.3249688,0.36436642,0.243264247,94.18267476
LabKpm24,Kancheepuram,Sriperumbudur,Thandalam(waterplant),,,04-07-2016,524,2,32,49.815,85,15,149,77,0,213.5,1.03,8,980,285,2.190832,0,37.81598,7.793933333,0.565320021,5.500276731,71.07905567,1.082057853,0.31468009,0.208285074,86.54360878
LabKpm25,Kancheepuram,Sriperumbudur,Thandalamrajalakshmi Coll,,,04-07-2016,1112,14,18,14.58,368,20,333,120,60,231.8,0.6,8.4,1860,105,15.6286,3.701455,85.98258,10.91150667,0.317992512,1.609837092,41.40527515,2.05370164,0.11593477,0.442009547,56.85625738
LabKpm26,Kancheepuram,Sriperumbudur,Panrutti Kandigai,,,04-07-2016,556,3,22,41.31,135,17,142,39,0,292.8,1.03,8.1,1080,225,3.915992,0.3021557,54.35088,8.573326667,0.388657515,4.561205094,71.07905567,1.19247192,0.24843165,0.221004774,86.26415329
LabKpm27,Kancheepuram,Sriperumbudur,Sogandi,,,04-07-2016,184,2,40,4.86,6,13,35,15,0.3727513,99.60735,0.13,7.6,300,120,0.2384385,0,8.729757,4.67636,0.706650027,0.536612364,8.971142949,0.3312422,0.13249688,0.07313827,15.42764269
LabKpm28,Kancheepuram,Sriperumbudur,Kunnam,,,04-07-2016,1046,13,16,15.795,356,25,312,66,60,274.5,0.58,8.4,1820,105,15.11836,4.401195,84.97687,10.91150667,0.282660011,1.743990183,40.02509931,2.009536013,0.11593477,0.415775168,55.50450212
LabKpm29,Kancheepuram,Sriperumbudur,Kanthur,,,04-07-2016,177,2,32,9.72,3,14,32,22,0.3354687,89.64462,0.16,7.6,290,120,0.1192024,0,4.522569,4.67636,0.565320021,1.073224728,11.04140671,0.320200793,0.13249688,0.070355836,17.87936497
LabKpm30,Kancheepuram,Sriperumbudur,Kovour(i)rishi Enterprise,,,04-07-2016,437,1,38,31.59,67,15,135,69,0.736818,124.2316,0.91,7.8,780,225,1.943784,0,37.39278,6.235146667,0.671317525,3.487980366,62.79800064,0.86122972,0.24843165,0.173703392,74.47580996
LabKpm31,Kancheepuram,Sriperumbudur,Kovour(ii),,,04-07-2016,727,5,22,24.3,196,30,152,67,0,427,0.64,8.2,1240,155,6.850623,3.90158,68.80791,9.35272,0.388657515,2.68306182,44.16562683,1.369134427,0.171141803,0.288975666,58.41931806
HP11962,Kancheepuram,Sriperumbudur,Kunrathur,"12°59'30""","80°05'50""",04-07-2016,573,7,28,34.02,132,14,145,82,0,213.5,0.52,8,1030,210,3.963658,0,55.76329,7.793933333,0.494655019,3.756286548,35.8845718,1.137264887,0.23186954,0.227762114,49.52634324
HP11938,Kancheepuram,Uthiramerur,Thenneri,"12°52'00""","79°51'40""",04-07-2016,463,5,26,51.03,67,16,149,31,1.536091,163.4139,0.2,8,880,275,1.757943,0,33.04149,7.793933333,0.459322517,5.634429822,13.80175838,0.971643787,0.303638683,0.184038148,29.14876467
13018,Kancheepuram,Kancheepuram,Chetiyarpet,"12°52'00""","79°45'20""",04-07-2016,325,2,10,32.805,55,9,35,52,2.338365,197.5987,0.19,8.1,580,160,1.891775,0.1183472,41.09851,8.573326667,0.176662507,3.622133457,13.11167046,0.640401587,0.176662507,0.129184445,26.43004163
HP11958,Kancheepuram,Kancheepuram,Govindavadi,"12°56'30""","79°40'05""",04-07-2016,1174,12,76,66.825,242,8,535,132,0,122,0.31,7.8,2000,465,4.883694,0,52.57241,6.235146667,1.342635051,7.378420005,21.39272549,2.208281333,0.51342541,0.466653964,39.53728792
HP11963,Kancheepuram,Kancheepuram,Purisai,"12°59'10""","79°45'00""",04-07-2016,1013,16,60,52.245,234,32,262,64,0,475.8,0.45,8.2,1830,365,5.330033,0.5055509,55.64931,9.35272,1.05997504,5.768582913,31.05395636,2.02057742,0.403011343,0.402657978,50.06148106
HP11937,Kancheepuram,Uthiramerur,Walajabad,"12°47'00""","79°49'50""",04-07-2016,955,7,16,31.59,288,14,308,128,0,274.5,0.41,8.2,1630,170,9.610897,1.101462,76.93332,9.35272,0.282660011,3.487980366,28.29360469,1.799749287,0.187703913,0.379603523,43.78402179
MWW11,Kancheepuram,Uthiramerur,Vedal,"12°18'03""","79°57'53""",05-07-2016,383,7,42,27.945,43,9,128,56,0.3515625,74.62337,0.05,7.7,650,220,1.261659,0,28.79245,5.455753333,0.741982528,3.085521093,3.450439596,0.717691433,0.242910947,0.1522389,13.84653783
MWW2,Kancheepuram,Madurandagam,Chittamur Bdo,"12°24'25""","79°53'32""",05-07-2016,629,7,32,24.3,166,8,195,66,0,213.5,0.42,8,1100,180,5.38449,0,65.51216,7.793933333,0.565320021,2.68306182,28.98369261,1.214554733,0.19874532,0.250021587,41.68932942
13243,Kancheepuram,Cheyyur,L.endathur,"12°31'04""","79°46'12""",05-07-2016,528,4,30,69.255,78,8,167,36,0,244,0.35,7.4,1080,360,1.788666,0,31.4341,3.117573333,0.52998752,7.646726187,24.15307717,1.19247192,0.39749064,0.209875037,37.24720181
HP11955,Kancheepuram,Madurandagam,Velamur [ramapuram],"12°28'40""","79°46'00""",05-07-2016,767,6,36,65.61,168,0.1,287,61,0,244,0.43,8,1450,360,3.852648,0,50.37763,7.793933333,0.635985024,7.244266914,29.67378052,1.601003967,0.39749064,0.30487529,47.65133569
MWW8,Kancheepuram,Cheyyur,Velmaur,"12°28'37""","79°45'56""",05-07-2016,329,4,30,31.59,36,18,35,23,3.301679,221.6191,0.53,8.2,610,205,1.094131,0,25.57463,9.35272,0.52998752,3.487980366,36.57465972,0.673525807,0.226348837,0.130774407,50.97599665
13158,Kancheepuram,Sriperumbudur,Maduramangalam,"12°57'00""","79°49'00""",05-07-2016,336,2,12,19.44,87,8,35,14,3.668661,246.2521,0.41,8.2,620,110,3.60938,1.960146,61.16086,9.35272,0.211995008,2.146449456,28.29360469,0.684567213,0.121455473,0.133556842,40.94434868
13159,Kancheepuram,Sriperumbudur,Sriperumbudur(b.d.o.offi),"12°58'00""","79°47'30""",05-07-2016,493,5,42,32.805,94,9,160,72,0.7408406,99.21944,0.13,7.9,910,240,2.640538,0,44.86044,7.01454,0.741982528,3.622133457,8.971142949,1.004768007,0.26499376,0.195962866,21.81552357
A13001,Kancheepuram,Sriperumbudur,Sriperumbudur Pwd Tank,"12°58'21""","79°56'27""",05-07-2016,358,9,52,19.44,42,15,50,49,2.200731,147.72,0.27,8.2,640,210,1.261469,0,28.52171,9.35272,0.918645035,2.146449456,18.63237382,0.706650027,0.23186954,0.142301635,32.13100951
HP11960,Kancheepuram,Sriperumbudur,Pondur,"12°55'45""","79°56'15""",05-07-2016,641,9,24,29.16,87,113,142,78,0,256.2,0.29,8.1,1030,180,2.821727,0.6022189,36.84199,8.573326667,0.423990016,3.219674184,20.01254966,1.137264887,0.19874532,0.254791475,33.8203422
LabKpm32,Kancheepuram,Kancheepuram,Damal,,,05-07-2016,2861,7,32,150.66,903,26,1375,161,84,195.2,0.22,8.4,5390,700,14.84876,0,72.82159,10.91150667,0.565320021,16.63498328,15.18193422,5.951318193,0.772898467,1.137220607,51.15518146
LabKpm33,Kancheepuram,Kancheepuram,Thulukkanthandalam,,,05-07-2016,274,15,32,14.58,26,19,35,4,0.9261242,124.0342,0.28,7.9,440,140,0.9563762,0,25.62384,7.01454,0.565320021,1.609837092,19.32246174,0.485821893,0.154579693,0.108912424,29.26147286
LabKpm34,Kancheepuram,Kancheepuram,Musaravakkam,,,05-07-2016,2105,8,60,77.76,612,20,1007,141,60,183,0.24,8.4,3650,470,12.2837,0,72.8829,10.91150667,1.05997504,8.585797824,16.56211006,4.030113433,0.518946113,0.836717713,42.50516685
