Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,HAR_Total,SAR,RSC,Na%,WnQn(Ph),WnQn(Ca),WnQn(Mg),WnQn(F),WnQn(Ec),WnQn(Har),WnQn(TDS),WaterQualityIndex
26.0,0,4,25.0,18.0,21.0,33.0,221.0,3.0,30.0,24.3,12.0,0.1,53.0,25.0,0.977343,103.9727,0.17,8.0,400.0,175.0,0.3947563,0.0,12.98024,7.793933332999999,0.52998752,2.68306182,11.73149463,0.4416562670000001,0.193224617,0.087845423,23.46120361
86.0,0,4,87.0,80.0,82.0,33.0,309.0,4.0,34.0,41.31,23.0,0.1,71.0,31.0,1.396404,148.5536,0.7,8.0,610.0,255.0,0.6267433000000001,0.0,16.40319,7.793933332999999,0.6006525229999999,4.561205094,48.30615434,0.673525807,0.28155587,0.122824595,62.33985156
10.0,0,4,9.0,10.0,10.0,33.0,278.0,3.0,28.0,30.375,30.0,0.1,74.0,26.0,1.461202,123.4759,0.15,8.1,520.0,195.0,0.9348572,0.0,25.07393,8.573326667,0.494655019,3.353827275,10.35131879,0.574153147,0.21530743,0.110502387,23.67309071
79.0,0,3,80.0,77.0,76.0,33.0,675.0,6.0,40.0,27.945,186.0,0.1,206.0,51.0,0.0,274.5,0.52,8.0,1240.0,215.0,5.520444,0.0,65.30512,7.793933332999999,0.706650027,3.085521093,35.8845718,1.369134427,0.237390243,0.268306155,49.34550707
104.0,0,4,106.0,98.0,98.0,33.0,743.0,3.0,22.0,41.31,208.0,21.0,113.0,44.0,0.0,508.72665000000006,0.55,7.9,1410.0,225.0,6.033528,0.0,64.24947,7.0145399999999976,0.388657515,4.561205094,37.95483555,1.55683834,0.24843165,0.295335516,52.01984367
80.0,0,4,81.0,78.0,79.0,33.0,364.0,3.0,26.0,35.235,62.0,0.1,96.0,37.0,1.148465,153.8118,0.25,7.9,690.0,210.0,1.861681,0.0,39.10548,7.0145399999999976,0.459322517,3.890439639,17.25219798,0.76185706,0.23186954,0.144686578,29.75491331
117.0,0,12,117.0,99.0,109.0,33.0,690.0,18.0,40.0,31.59,5.0,0.1,18.0,1.0,0.0,451.4,1.1749999999999998,7.7,1350.0,230.0,0.0,0.0,0.0,5.455753333,0.706650027,3.4879803660000004,81.08533050499999,1.4905899,0.253952353,0.274268514,99.67157988375
2.0,0,0,2.0,7.0,3.0,33.0,406.0,5.0,48.0,35.235,60.0,0.1,74.0,57.0,0.8439146000000001,179.13099999999997,0.05,7.7,790.0,265.0,1.603999,0.0,33.00577,5.455753333,0.847980032,3.890439639,3.4504395960000003,0.872271127,0.292597277,0.161381184,14.97086219
5.0,0,6,5.0,4.0,5.0,33.0,1391.0,19.5,120.0,43.74,311.0,19.0,520.125,82.0,0.0,176.9,0.1,7.6,2360.0,480.0,6.178441,0.0,57.3171,4.67636,2.11995008,4.829511276,6.9008791920000006,2.605771973,0.52998752,0.552909425,22.21536947
44.0,0,0,42.0,35.0,36.0,33.0,1167.0,12.0,76.0,54.675,221.0,34.85,252.0,68.0,0.0,508.72665000000006,0.43,7.6,2070.0,415.0,4.721129,0.0,46.45586,4.67636,1.342635051,6.036889095,29.67378052,2.28557118,0.458218377,0.46387153,44.93732576
